id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
111,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DEKORASI,0,UNIT,2019
112,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MEBEL,0,UNIT,2019
113,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,FASHION,0,UNIT,2019
114,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,INDUSTRI,0,UNIT,2019
115,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,JASA,0,UNIT,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KONVEKSI,1,UNIT,2019
117,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KULINER,1,UNIT,2019
118,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MAKANAN,39,UNIT,2019
119,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MINUMAN,5,UNIT,2019
120,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,OBAT-OBATAN,0,UNIT,2019
121,32,JAWA BARAT,3209,KABUPATEN CIREBON,AGRIBISNIS,3,UNIT,2019
122,32,JAWA BARAT,3209,KABUPATEN CIREBON,AKSESORIS,1,UNIT,2019
123,32,JAWA BARAT,3209,KABUPATEN CIREBON,BATIK,0,UNIT,2019
124,32,JAWA BARAT,3209,KABUPATEN CIREBON,BORDIR,0,UNIT,2019
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,CRAFT,17,UNIT,2019
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,DEKORASI,0,UNIT,2019
127,32,JAWA BARAT,3209,KABUPATEN CIREBON,MEBEL,0,UNIT,2019
128,32,JAWA BARAT,3209,KABUPATEN CIREBON,FASHION,13,UNIT,2019
129,32,JAWA BARAT,3209,KABUPATEN CIREBON,INDUSTRI,4,UNIT,2019
130,32,JAWA BARAT,3209,KABUPATEN CIREBON,JASA,1,UNIT,2019
131,32,JAWA BARAT,3209,KABUPATEN CIREBON,KONVEKSI,4,UNIT,2019
132,32,JAWA BARAT,3209,KABUPATEN CIREBON,KULINER,17,UNIT,2019
133,32,JAWA BARAT,3209,KABUPATEN CIREBON,MAKANAN,69,UNIT,2019
134,32,JAWA BARAT,3209,KABUPATEN CIREBON,MINUMAN,6,UNIT,2019
135,32,JAWA BARAT,3209,KABUPATEN CIREBON,OBAT-OBATAN,0,UNIT,2019
136,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,AGRIBISNIS,6,UNIT,2019
137,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,AKSESORIS,0,UNIT,2019
138,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BATIK,0,UNIT,2019
139,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BORDIR,0,UNIT,2019
140,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CRAFT,0,UNIT,2019
141,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DEKORASI,0,UNIT,2019
142,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MEBEL,0,UNIT,2019
143,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,FASHION,12,UNIT,2019
144,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,INDUSTRI,13,UNIT,2019
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,JASA,3,UNIT,2019
146,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KONVEKSI,1,UNIT,2019
147,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KULINER,25,UNIT,2019
148,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MAKANAN,52,UNIT,2019
149,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MINUMAN,6,UNIT,2019
150,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,OBAT-OBATAN,0,UNIT,2019
151,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,AGRIBISNIS,1,UNIT,2019
152,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,AKSESORIS,0,UNIT,2019
153,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BATIK,1,UNIT,2019
154,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BORDIR,0,UNIT,2019
155,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,CRAFT,8,UNIT,2019
156,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DEKORASI,0,UNIT,2019
157,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MEBEL,0,UNIT,2019
158,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,FASHION,6,UNIT,2019
159,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,INDUSTRI,3,UNIT,2019
160,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,JASA,2,UNIT,2019
161,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KONVEKSI,2,UNIT,2019
162,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KULINER,18,UNIT,2019
163,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MAKANAN,54,UNIT,2019
164,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MINUMAN,2,UNIT,2019
165,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,OBAT-OBATAN,0,UNIT,2019
166,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AGRIBISNIS,1,UNIT,2019
167,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AKSESORIS,0,UNIT,2019
168,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BATIK,0,UNIT,2019
169,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BORDIR,0,UNIT,2019
170,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CRAFT,3,UNIT,2019
171,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DEKORASI,0,UNIT,2019
172,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MEBEL,0,UNIT,2019
173,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,FASHION,1,UNIT,2019
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,INDUSTRI,1,UNIT,2019
175,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,JASA,3,UNIT,2019
176,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KONVEKSI,3,UNIT,2019
177,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KULINER,0,UNIT,2019
178,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MAKANAN,38,UNIT,2019
179,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MINUMAN,2,UNIT,2019
180,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,OBAT-OBATAN,0,UNIT,2019
181,32,JAWA BARAT,3213,KABUPATEN SUBANG,AGRIBISNIS,1,UNIT,2019
182,32,JAWA BARAT,3213,KABUPATEN SUBANG,AKSESORIS,0,UNIT,2019
183,32,JAWA BARAT,3213,KABUPATEN SUBANG,BATIK,0,UNIT,2019
184,32,JAWA BARAT,3213,KABUPATEN SUBANG,BORDIR,0,UNIT,2019
185,32,JAWA BARAT,3213,KABUPATEN SUBANG,CRAFT,5,UNIT,2019
186,32,JAWA BARAT,3213,KABUPATEN SUBANG,DEKORASI,0,UNIT,2019
187,32,JAWA BARAT,3213,KABUPATEN SUBANG,MEBEL,0,UNIT,2019
188,32,JAWA BARAT,3213,KABUPATEN SUBANG,FASHION,6,UNIT,2019
189,32,JAWA BARAT,3213,KABUPATEN SUBANG,INDUSTRI,4,UNIT,2019
190,32,JAWA BARAT,3213,KABUPATEN SUBANG,JASA,0,UNIT,2019
191,32,JAWA BARAT,3213,KABUPATEN SUBANG,KONVEKSI,0,UNIT,2019
192,32,JAWA BARAT,3213,KABUPATEN SUBANG,KULINER,0,UNIT,2019
193,32,JAWA BARAT,3213,KABUPATEN SUBANG,MAKANAN,35,UNIT,2019
194,32,JAWA BARAT,3213,KABUPATEN SUBANG,MINUMAN,1,UNIT,2019
195,32,JAWA BARAT,3213,KABUPATEN SUBANG,OBAT-OBATAN,0,UNIT,2019
196,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AGRIBISNIS,0,UNIT,2019
197,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AKSESORIS,0,UNIT,2019
198,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BATIK,0,UNIT,2019
199,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BORDIR,0,UNIT,2019
200,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,CRAFT,0,UNIT,2019
201,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DEKORASI,0,UNIT,2019
202,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MEBEL,0,UNIT,2019
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,FASHION,4,UNIT,2019
204,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,INDUSTRI,0,UNIT,2019
205,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,JASA,1,UNIT,2019
206,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KONVEKSI,0,UNIT,2019
207,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KULINER,5,UNIT,2019
208,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MAKANAN,12,UNIT,2019
209,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MINUMAN,0,UNIT,2019
210,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,OBAT-OBATAN,0,UNIT,2019
211,32,JAWA BARAT,3215,KABUPATEN KARAWANG,AGRIBISNIS,0,UNIT,2019
212,32,JAWA BARAT,3215,KABUPATEN KARAWANG,AKSESORIS,0,UNIT,2019
213,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BATIK,1,UNIT,2019
214,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BORDIR,0,UNIT,2019
215,32,JAWA BARAT,3215,KABUPATEN KARAWANG,CRAFT,7,UNIT,2019
216,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DEKORASI,0,UNIT,2019
217,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MEBEL,0,UNIT,2019
218,32,JAWA BARAT,3215,KABUPATEN KARAWANG,FASHION,0,UNIT,2019
219,32,JAWA BARAT,3215,KABUPATEN KARAWANG,INDUSTRI,1,UNIT,2019
220,32,JAWA BARAT,3215,KABUPATEN KARAWANG,JASA,0,UNIT,2019
221,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KONVEKSI,3,UNIT,2019
222,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KULINER,0,UNIT,2019
223,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MAKANAN,44,UNIT,2019
224,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MINUMAN,9,UNIT,2019
225,32,JAWA BARAT,3215,KABUPATEN KARAWANG,OBAT-OBATAN,0,UNIT,2019
226,32,JAWA BARAT,3216,KABUPATEN BEKASI,AGRIBISNIS,0,UNIT,2019
227,32,JAWA BARAT,3216,KABUPATEN BEKASI,AKSESORIS,1,UNIT,2019
228,32,JAWA BARAT,3216,KABUPATEN BEKASI,BATIK,1,UNIT,2019
229,32,JAWA BARAT,3216,KABUPATEN BEKASI,BORDIR,1,UNIT,2019
230,32,JAWA BARAT,3216,KABUPATEN BEKASI,CRAFT,5,UNIT,2019
231,32,JAWA BARAT,3216,KABUPATEN BEKASI,DEKORASI,0,UNIT,2019
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,MEBEL,0,UNIT,2019
233,32,JAWA BARAT,3216,KABUPATEN BEKASI,FASHION,8,UNIT,2019
234,32,JAWA BARAT,3216,KABUPATEN BEKASI,INDUSTRI,1,UNIT,2019
235,32,JAWA BARAT,3216,KABUPATEN BEKASI,JASA,0,UNIT,2019
236,32,JAWA BARAT,3216,KABUPATEN BEKASI,KONVEKSI,0,UNIT,2019
237,32,JAWA BARAT,3216,KABUPATEN BEKASI,KULINER,0,UNIT,2019
238,32,JAWA BARAT,3216,KABUPATEN BEKASI,MAKANAN,43,UNIT,2019
239,32,JAWA BARAT,3216,KABUPATEN BEKASI,MINUMAN,3,UNIT,2019
240,32,JAWA BARAT,3216,KABUPATEN BEKASI,OBAT-OBATAN,0,UNIT,2019
241,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AGRIBISNIS,0,UNIT,2019
242,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AKSESORIS,0,UNIT,2019
243,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BATIK,0,UNIT,2019
244,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BORDIR,0,UNIT,2019
245,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,CRAFT,17,UNIT,2019
246,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DEKORASI,0,UNIT,2019
247,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MEBEL,0,UNIT,2019
248,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,FASHION,26,UNIT,2019
249,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,INDUSTRI,1,UNIT,2019
250,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,JASA,4,UNIT,2019
251,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KONVEKSI,0,UNIT,2019
252,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KULINER,17,UNIT,2019
253,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MAKANAN,49,UNIT,2019
254,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MINUMAN,6,UNIT,2019
255,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,OBAT-OBATAN,0,UNIT,2019
256,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,AGRIBISNIS,0,UNIT,2019
257,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,AKSESORIS,0,UNIT,2019
258,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BATIK,0,UNIT,2019
259,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BORDIR,0,UNIT,2019
260,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,CRAFT,11,UNIT,2019
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DEKORASI,0,UNIT,2019
262,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MEBEL,0,UNIT,2019
263,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,FASHION,4,UNIT,2019
264,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,INDUSTRI,0,UNIT,2019
265,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,JASA,2,UNIT,2019
266,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KONVEKSI,1,UNIT,2019
267,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KULINER,0,UNIT,2019
268,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MAKANAN,42,UNIT,2019
269,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MINUMAN,5,UNIT,2019
270,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,OBAT-OBATAN,0,UNIT,2019
271,32,JAWA BARAT,3271,KOTA BOGOR,AGRIBISNIS,0,UNIT,2019
272,32,JAWA BARAT,3271,KOTA BOGOR,AKSESORIS,0,UNIT,2019
273,32,JAWA BARAT,3271,KOTA BOGOR,BATIK,2,UNIT,2019
274,32,JAWA BARAT,3271,KOTA BOGOR,BORDIR,0,UNIT,2019
275,32,JAWA BARAT,3271,KOTA BOGOR,CRAFT,2,UNIT,2019
276,32,JAWA BARAT,3271,KOTA BOGOR,DEKORASI,1,UNIT,2019
277,32,JAWA BARAT,3271,KOTA BOGOR,MEBEL,0,UNIT,2019
278,32,JAWA BARAT,3271,KOTA BOGOR,FASHION,1,UNIT,2019
279,32,JAWA BARAT,3271,KOTA BOGOR,INDUSTRI,6,UNIT,2019
280,32,JAWA BARAT,3271,KOTA BOGOR,JASA,0,UNIT,2019
281,32,JAWA BARAT,3271,KOTA BOGOR,KONVEKSI,0,UNIT,2019
282,32,JAWA BARAT,3271,KOTA BOGOR,KULINER,3,UNIT,2019
283,32,JAWA BARAT,3271,KOTA BOGOR,MAKANAN,18,UNIT,2019
284,32,JAWA BARAT,3271,KOTA BOGOR,MINUMAN,4,UNIT,2019
285,32,JAWA BARAT,3271,KOTA BOGOR,OBAT-OBATAN,0,UNIT,2019
286,32,JAWA BARAT,3272,KOTA SUKABUMI,AGRIBISNIS,3,UNIT,2019
287,32,JAWA BARAT,3272,KOTA SUKABUMI,AKSESORIS,1,UNIT,2019
288,32,JAWA BARAT,3272,KOTA SUKABUMI,BATIK,0,UNIT,2019
289,32,JAWA BARAT,3272,KOTA SUKABUMI,BORDIR,0,UNIT,2019
290,32,JAWA BARAT,3272,KOTA SUKABUMI,CRAFT,7,UNIT,2019
291,32,JAWA BARAT,3272,KOTA SUKABUMI,DEKORASI,0,UNIT,2019
292,32,JAWA BARAT,3272,KOTA SUKABUMI,MEBEL,0,UNIT,2019
293,32,JAWA BARAT,3272,KOTA SUKABUMI,FASHION,3,UNIT,2019
